id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,Horse_power
11988,Chevrolet,Tahoe Premier,2021,12000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,55000,355.0
42264,Ford,Bronco Big Bend,2018,17000,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Black,None reported,46000,275.0
29270,BMW,M5 Base,2018,37000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,56000,600.0
23224,Chevrolet,Suburban Premier,2019,35515,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,39000,355.0
35423,Ford,Mustang GT,2008,207100,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,6500,260.0
23803,Maserati,Ghibli S Q4,2016,49750,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,33900,404.0
1492,Jaguar,XK Base,2016,86000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,12500,340.0
41054,Chevrolet,Grand Cherokee Limited,2019,48842,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Granite Crystal Clearcoat Metallic,Jet Black,At least 1 accident or damage reported,39857,
30546,Cadillac,DeVille Base,1994,7900,–,–,A/T,Green,Beige,None reported,17899,
47325,Lincoln,Navigator L Reserve,2018,70891,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,27000,450.0
24174,GMC,Yukon SLT,2017,110000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,At least 1 accident or damage reported,33999,355.0
17506,Porsche,911 Carrera GTS,2022,2800,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,695000,414.0
38659,Audi,A5 Sportback S line Premium Plus,2021,37200,Gasoline,261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,25000,261.0
53901,Chevrolet,Tahoe LTZ,2014,500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,37000,355.0
10914,Kia,Telluride S,2023,11700,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,72900,291.0
28170,Porsche,911 Carrera,2010,38000,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,71400,350.0
36300,Mercedes-Benz,SLK-Class SLK 350,2015,75000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Beige,None reported,38500,302.0
34203,BMW,M3 Base,2001,60000,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,None reported,15000,333.0
9884,Lexus,RC 350 Base,2015,124000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Blue,None reported,34999,306.0
30088,BMW,650 Gran Coupe i xDrive,2014,120000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,20000,445.0
48609,Porsche,Macan S,2014,46200,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,41500,340.0
2133,Ford,F-150 XLT,2020,92000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Beige,None reported,29999,375.0
21957,Dodge,Ram 1500 ST,2011,153000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,4000,210.0
27231,Ferrari,F12berlinetta Base,2016,26500,Gasoline,6.3L V12 48V GDI DOHC,7-Speed Automatic with Auto-Shift,Gray,Red,None reported,97993,
26683,Porsche,911 Carrera,2007,52744,Gasoline,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,42850,345.0
40454,BMW,X5 xDrive40i,2020,49688,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,31700,335.0
45056,Hyundai,Veloster Turbo R-Spec,2014,70500,Gasoline,201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,13995,201.0
13153,Ford,F-250 XLT,2018,97700,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,None reported,42000,450.0
49476,Subaru,BRZ Limited,2013,129858,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,21500,200.0
50733,BMW,M5 Base,2018,18000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,68000,600.0
9615,Ford,F-250 XLT Super Duty,2001,162000,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,7500,260.0
34071,Mercedes-Benz,AMG G 63 Base,2018,49083,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Obsidian Black Metallic,Black,None reported,29995,
26329,Ford,F-250 Platinum,2018,22000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,Black,At least 1 accident or damage reported,49000,385.0
46050,Lexus,NX 300 Base,2017,25470,Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Red,None reported,32500,235.0
16740,GMC,Yukon XL SLT,2021,15162,Gasoline,5.3L V8 16V GDI OHV,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,2899,
13891,Mercedes-Benz,S-Class S 550,2016,78101,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,34500,449.0
18941,Cadillac,Escalade Platinum,2018,49273,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,65000,420.0
45307,Chevrolet,Silverado 1500 Base,1999,53850,Gasoline,200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,10500,200.0
18500,Lexus,ES 350 Base,2019,69000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,36500,302.0
11383,Kia,Stinger GT2,2019,49814,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,31500,365.0
12570,Mazda,Mazda6 i Touring,2015,120000,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Beige,At least 1 accident or damage reported,11500,184.0
8811,Chevrolet,Corvette Stingray w/2LT,2023,9000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,67900,490.0
17647,Lexus,RX 350 F Sport Performance,2018,53750,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,32600,295.0
36816,Dodge,Ram 1500 ST,2007,199000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,7200,210.0
28886,Lotus,Elise Base,2003,152000,Gasoline,190.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,12499,190.0
18620,Ford,F-150 XLT,2018,67500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,–,At least 1 accident or damage reported,22500,375.0
14461,Porsche,Cayenne Turbo S,2020,41000,Gasoline,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,65999,550.0
35114,Subaru,BRZ Limited,2007,98313,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,9995,200.0
52530,BMW,X1 xDrive 28i,2019,51984,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,38880,228.0
32338,Mercedes-Benz,S-Class S 560 4MATIC,2018,24500,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Silver,None reported,64000,463.0
14418,Mercedes-Benz,GLE 350 Base 4MATIC,2020,38000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,31933,255.0
40861,Ford,Fusion SE,2008,114323,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,6000,175.0
22733,Jaguar,XK8 Base,2001,90000,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,Beige,None reported,20000,290.0
5740,Mercedes-Benz,AMG C 63 Base,2018,63000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,48000,469.0
52858,Lexus,IS 300 Base,2004,178000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,4500,260.0
24242,Kia,Forte LXS,2023,53452,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,4200,147.0
38968,Ford,Mustang EcoBoost Premium,2021,15198,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Black,Black,None reported,40599,
45530,Mercedes-Benz,A-Class A 220 4MATIC,2016,88000,Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,24000,188.0
17474,Lexus,GX 460 Base,2015,123256,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,18999,301.0
11255,Audi,S5 3.0T Premium Plus,2014,72348,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,21800,333.0
49547,Lexus,GS 350 F Sport,2020,15183,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,130000,311.0
19396,Jeep,Wrangler Unlimited Sahara,2013,124000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,At least 1 accident or damage reported,16750,285.0
17239,Jeep,Wagoneer Series III,2022,10458,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black Clearcoat,Global Black,None reported,69685,
12300,Mercedes-Benz,S-Class S 560 4MATIC,2023,5338,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Red,None reported,67500,577.0
30437,BMW,135 i,2014,98000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,10500,300.0
46296,Mercedes-Benz,E-Class E 350 4MATIC,2009,151400,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Beige,At least 1 accident or damage reported,21000,268.0
25228,Land,Rover Discovery HSE,2018,55000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,37000,340.0
5723,Jeep,Gladiator Freedom,2021,25000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,42000,285.0
15082,Mercedes-Benz,E-Class E 350 4MATIC,2016,85500,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,29950,302.0
30788,Acura,TLX Type S w/Performance Tire,2023,11806,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,31900,355.0
50321,Ford,F-150 XL,2019,75965,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,White,Medium Earth Gray,None reported,68590,
8531,Ford,Bronco Sport Big Bend,2022,14000,Gasoline,181.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,34999,181.0
26193,Lexus,TLX V6 Advance,2016,68364,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,19500,290.0
30485,Ford,Mustang GT Premium,2012,38560,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,25500,412.0
49050,Land,Rover Defender SE,2022,27224,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,None reported,75900,395.0
36145,Ford,Bronco Heritage Edition Advanced,2015,1500,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,7-Speed M/T,Red,–,None reported,23000,275.0
14567,INFINITI,G37 x,2012,102000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,36800,328.0
9052,Nissan,Maxima SL,2007,101600,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,6700,255.0
10489,BMW,435 i,2016,98400,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,27900,300.0
34865,Porsche,911 Carrera 4S,2009,31500,Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,68750,355.0
17763,Land,Rover Discovery HSE LUXURY,2017,73101,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,30000,340.0
12921,Toyota,Supra A91 Edition,2021,6400,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,68000,382.0
14996,Hummer,H2 Base,2006,179400,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,4000,325.0
29767,Alfa,Romeo Giulia Ti,2018,21400,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,34999,280.0
24835,Ford,Utility Police Interceptor Base,2016,118000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Black,None reported,15000,365.0
31322,Nissan,Rogue SL,2021,16156,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,White,Charcoal Black,None reported,39995,
21775,BMW,M4 Competition xDrive,2023,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,None reported,105500,503.0
36453,BMW,528 i xDrive,2015,111000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,13000,240.0
3695,INFINITI,QX80 Luxe,2022,22500,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,54500,400.0
53360,Ford,Focus RS Base,2017,89000,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,28000,350.0
45233,Jeep,Wrangler Unlimited Sport,2021,25396,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,43449,
14268,Audi,A8 L 55,2019,27000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,None reported,40000,335.0
17367,Chevrolet,Camaro 1SS,2022,23151,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,32300,455.0
17903,Land,Rover Range Rover P400 SE SWB,2023,11700,Gasoline,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,133500,395.0
34541,Acura,RDX Technology Package,2020,26465,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,White Platinum Tri-Coat Metallic,Ebony,None reported,26288,
15085,Audi,A4 2.0T Premium Plus,2013,90236,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Gray,Black,None reported,9999,220.0
44650,Nissan,NV Passenger NV3500 HD SL V8,2020,27981,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,47500,375.0
36394,Volkswagen,Golf SportWagen TSI SE,2017,33850,Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Blue,Beige,None reported,12599,
29957,Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Beige,None reported,36500,510.0
30863,Chevrolet,Suburban 1500 LTZ,2013,87500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,20000,355.0
114,Ford,F-250 Lariat,2019,97700,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,None reported,45000,450.0
10410,Chevrolet,Tahoe LTZ,2015,140401,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,35999,355.0
27516,Audi,A5 2.0T Premium Plus,2019,28000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,39900,248.0
37737,Lexus,IS 300 Base,2013,73500,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,At least 1 accident or damage reported,26999,260.0
18324,BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,White,White,None reported,86999,369.0
29554,Toyota,FJ Cruiser Base,2007,131000,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,9950,239.0
12782,Dodge,Durango SRT 392,2021,78000,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,44700,475.0
14965,Jeep,Compass Sport,2012,179700,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,4500,172.0
297,Lexus,GX 460 Base,2018,67645,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,59500,301.0
909,BMW,528 i xDrive,2016,69750,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,30500,240.0
48630,Dodge,Ram 1500 Quad Cab,2002,179000,Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,3500,245.0
45272,Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,57800,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,69500,247.0
38538,Mercedes-Benz,S-Class S 560 4MATIC,2019,37000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,46850,463.0
19066,Porsche,Panamera Turbo,2018,30951,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,59750,520.0
11138,Ford,Mustang GT Premium,2010,123500,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Red,At least 1 accident or damage reported,34999,315.0
50991,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,127980,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,None reported,13999,220.0
18756,Porsche,911 Carrera 4S,2016,28000,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,100000,420.0
43450,Mercedes-Benz,E-Class E 350,2014,88000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,15500,302.0
2613,Porsche,Panamera Edition,2016,65000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,65000,310.0
4296,Audi,S5 3.0T Prestige,2018,45000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,41500,354.0
15360,Land,Rover Range Rover 5.0L Supercharged,2018,63295,E85 Flex Fuel,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Blue,White,At least 1 accident or damage reported,42995,510.0
53856,Lincoln,MKZ Base,2016,113294,Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,Beige,At least 1 accident or damage reported,16500,245.0
25297,BMW,X7 xDrive40i,2021,41000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Brown,None reported,54500,335.0
53993,Ford,Mustang GT,2003,79500,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,15999,260.0
7261,Land,Rover Range Rover Sport Supercharged HSE,2016,61802,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,19550,340.0
