id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,milage_per_year,milage_bins,horse_power
51883,Jeep,Wrangler Unlimited X,2007,96653,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,22500,5685.0,High,202.0
6539,BMW,428 i,2014,71000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,20000,7100.0,Medium,240.0
18172,Dodge,Ram 1500 Laramie Mega Cab,2006,207000,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,10500,11500.0,High,345.0
24096,Chevrolet,DTS Luxury II,2005,94155,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,21999,4955.0,High,275.0
14024,BMW,M240 i,2018,61000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,33999,10166.0,Medium,335.0
6939,Ford,F-250 Lariat,2022,9142,Gasoline,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,33500,4571.0,Low,430.0
21947,BMW,M3 Base,2001,25000,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Gray,None reported,28000,1086.0,Low,333.0
53501,Ford,Mustang V6,2013,103000,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,12500,9363.0,High,305.0
49734,INFINITI,QX70 Base,2015,63496,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,32850,7055.0,Medium,325.0
32392,BMW,330 i xDrive,2018,117000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,17000,19500.0,High,248.0
25472,BMW,330 i xDrive,2018,98000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,–,At least 1 accident or damage reported,26000,16333.0,High,248.0
13941,Jeep,Wrangler Unlimited Sport,2016,74582,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,None reported,30500,9322.0,Medium,285.0
49757,BMW,M5 Base,2018,42526,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,89999,7087.0,Low,600.0
3815,Mercedes-Benz,AMG G AMG G 63 4MATIC,2014,49000,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,144900,4900.0,Medium,563.0
33182,Porsche,Panamera Base,2018,40950,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,28750,6825.0,Low,330.0
30470,Audi,RS 7 4.0T Prestige,2016,31500,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,87500,3937.0,Low,560.0
41486,Toyota,Camry Hybrid Base,2007,53249,Gasoline,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,None reported,9250,3132.0,Medium,147.0
4529,Chevrolet,Camaro 2SS,2015,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,32000,8222.0,Medium,455.0
5145,Kia,Sorento LX,2019,78110,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,21000,15622.0,Medium,191.0
10702,Audi,SQ5 3.0T Premium Plus,2019,22372,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,38700,4474.0,Low,349.0
1294,Chevrolet,Corvette Base,2004,49170,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,30000,2458.0,Medium,350.0
43350,Mercedes-Benz,G-Class G 550 4MATIC,2016,110000,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,133000,13750.0,High,416.0
45830,Chevrolet,Express 2500 Work Van,2016,139804,Gasoline,285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,5995,17475.0,High,285.0
9619,Land,Rover Range Rover Evoque S,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,31000,11722.0,Medium,246.0
50425,Honda,S2000 Base,2002,110500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,None reported,27000,5022.0,High,240.0
33357,Toyota,Tacoma SR5,2014,85385,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Gray,Gray,At least 1 accident or damage reported,14311,8538.0,Medium,
36032,Jaguar,F-TYPE R,2020,38800,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,94999,9700.0,Low,550.0
17542,Ford,Mustang GT Premium,2012,101000,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,17500,8416.0,High,412.0
30239,Ford,F-150 Lariat,2020,131986,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,29994,32996.0,High,375.0
8042,Audi,Q7 3.0T Premium,2017,108000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,25000,15428.0,High,333.0
20966,BMW,X5 xDrive35i,2013,60000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,19900,5454.0,Medium,300.0
34040,BMW,328 i xDrive,2013,98413,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,17500,8946.0,High,240.0
19603,Cadillac,CTS 2.0L Turbo Luxury,2014,82900,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,18000,8290.0,Medium,265.0
16193,INFINITI,G37 x,2012,120000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,20000,10000.0,High,328.0
49653,BMW,335 i,2012,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,16999,7667.0,High,300.0
45787,BMW,335 i,2010,85000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,13900,6071.0,Medium,300.0
16633,Chevrolet,Silverado 1500 2LT,2019,65000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,65000,13000.0,Medium,355.0
627,Volkswagen,Golf SportWagen TSI SE,2017,33850,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,16500,4835.0,Low,170.0
20132,Honda,Civic EX,2008,190640,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Silver,None reported,6800,11915.0,High,140.0
20635,Audi,A3 2.0T Premium,2007,137273,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,12000,8074.0,High,200.0
11396,Acura,TSX Technology,2011,187883,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,5500,14452.0,High,201.0
33789,Jeep,Wrangler Sport,1997,171000,Gasoline,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,Brown,At least 1 accident or damage reported,5500,6333.0,High,181.0
23779,Audi,S5 3.0T Prestige,2021,15500,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,51999,5166.0,Low,349.0
29230,Bentley,Bentayga V8,2020,33000,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,52999,8250.0,Low,542.0
48480,Jeep,Wrangler S,1994,86170,Gasoline,–,A/T,White,–,At least 1 accident or damage reported,28250,2872.0,Medium,
7311,Ford,Focus SE,2012,108045,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,10500,9003.0,High,160.0
31820,Acura,TLX V6 Tech,2015,38000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,At least 1 accident or damage reported,11500,4222.0,Low,290.0
31091,Toyota,Tundra Limited,2021,3959,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,55000,1319.0,Low,389.0
3249,BMW,M5 Base,2018,18362,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,130000,3060.0,Low,600.0
48327,Hyundai,Genesis 4.6,2011,129567,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,7000,9966.0,High,378.0
16725,Jaguar,XK8 Base,1997,50000,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,White,None reported,14900,1851.0,Medium,290.0
42,Audi,A4 3.2 Premium Plus quattro,2011,90818,Gasoline,265.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,8700,6986.0,High,265.0
14360,Mercedes-Benz,C-Class C55 AMG Sport,2002,181830,Gasoline,362.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,14500,8265.0,High,362.0
36128,BMW,M240 i,2020,27100,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,50000,6775.0,Low,335.0
52163,Lexus,IS 350 Base,2009,123500,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,14900,8233.0,High,306.0
33322,Volkswagen,Jetta GLI,2003,90360,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,6399,4302.0,High,220.0
4282,Mazda,RX-8 R3,2009,65000,Gasoline,232.0HP 1.3L Rotary engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,8950,4333.0,Medium,232.0
31780,Dodge,Dakota SLT Quad Cab,2007,170000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,9000,10000.0,High,210.0
25720,Volkswagen,CC 2.0T Sport,2011,121525,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,51800,9348.0,High,200.0
45998,Mazda,CX-30 Premium Package,2021,18385,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Soul Red Crystal Metallic,Black,None reported,26095,6128.0,Low,
49274,Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,Black,None reported,15999,6043.0,High,300.0
8261,Land,Rover Range Rover Sport HST MHEV,2020,16280,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,124900,4070.0,Low,395.0
40897,BMW,X5 xDrive35i,2013,91545,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,18300,8322.0,High,300.0
16296,Subaru,WRX Base,2015,52500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,36000,5833.0,Medium,268.0
29412,Cadillac,Escalade Premium Luxury,2021,11459,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Brown,None reported,41000,3819.0,Low,420.0
5537,Tesla,Model Y Long Range,2020,88000,Gasoline,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,35500,22000.0,Medium,425.0
49159,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2018,44000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,62000,7333.0,Low,518.0
41697,Acura,MDX 3.7L Advance,2011,137200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,12500,10553.0,High,300.0
54171,Cadillac,Escalade ESV Sport,2021,4500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,98000,1500.0,Low,420.0
4654,Audi,A8 L 55,2019,41500,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Gray,Black,None reported,96900,8300.0,Low,335.0
42942,Cadillac,Escalade ESV Sport,2021,49750,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,33000,16583.0,Medium,420.0
10317,Volkswagen,Touareg TDI Lux,2015,15167,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Black,None reported,39900,1685.0,Low,240.0
47645,Lincoln,Navigator L Select,2016,106335,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,24500,13291.0,High,380.0
36000,RAM,1500 Limited,2020,43534,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,65990,10883.0,Low,395.0
52907,Mercedes-Benz,AMG GLC 63 Base 4MATIC,2020,17000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,59995,4250.0,Low,469.0
23344,Mercedes-Benz,AMG GT 53 Base,2018,50000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,38000,8333.0,Medium,429.0
24979,Mercedes-Benz,C-Class C 300 4MATIC,2018,72784,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,26499,12130.0,Medium,241.0
50988,BMW,X5 xDrive40i,2011,120000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,9999,9230.0,High,335.0
40436,Nissan,350Z Touring,2005,70000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Orange,Orange,At least 1 accident or damage reported,10300,3684.0,Medium,287.0
21136,Dodge,Challenger SRT Hellcat,2020,22500,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,124900,5625.0,Low,707.0
18674,Honda,Pilot EX,2006,122000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,11900,6777.0,High,240.0
47912,Ford,Bronco Wildtrak Advanced,2022,19200,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,–,None reported,197750,9600.0,Low,315.0
31251,Land,Rover Range Rover P400 SE SWB,2023,542,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,63100,542.0,Low,395.0
42603,BMW,328 xi,2010,106000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Beige,None reported,5800,7571.0,High,230.0
15958,Chevrolet,Corvette Base,1998,87500,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,13000,3365.0,Medium,340.0
53458,Mercury,Capri XR2,1996,131000,–,–,5-Speed M/T,Beige,Gray,None reported,14000,4678.0,High,
13649,Mazda,MazdaSpeed3 Grand Touring,2008,82900,Gasoline,263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,14995,5181.0,Medium,263.0
18160,Mercedes-Benz,SL-Class SL 550,2014,77000,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,21900,7700.0,Medium,429.0
32575,Land,Rover Range Rover Sport Supercharged HSE,2015,71290,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,29800,7921.0,Medium,340.0
20312,Maserati,Quattroporte Base,2008,265000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,4700,16562.0,High,394.0
32839,Audi,A4 3.2 Premium Plus quattro,2012,95798,Gasoline,265.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,14500,7983.0,High,265.0
39239,Audi,A4 2.0T Premium Plus,2016,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,26000,9125.0,Medium,220.0
18692,Dodge,Ram 1500 ST,2010,132000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,8500,9428.0,High,210.0
40602,Dodge,Charger R/T,2006,91300,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Yellow,–,None reported,4500,5072.0,High,250.0
47921,Ford,F-150 XLT,2018,98000,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,32000,16333.0,High,325.0
1391,Jeep,Wrangler SE,2005,124756,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,None reported,4700,6566.0,High,150.0
19249,GMC,Yukon Denali,2019,92800,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,34580,18560.0,High,420.0
1124,BMW,330 i xDrive,2019,49990,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,25000,9998.0,Medium,248.0
21443,Lexus,CT 200h Premium,2014,129567,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,None reported,28000,12956.0,High,134.0
1150,Volkswagen,Golf R 4-Door,2016,47000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,35300,5875.0,Medium,292.0
4380,Lexus,IS 300 Base,2020,48000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,31000,12000.0,Medium,260.0
43615,Mitsubishi,Outlander Sport ES,2008,199296,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,4200,12456.0,High,166.0
32412,GMC,Yukon SLT,2021,67522,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,29995,22507.0,Medium,355.0
42141,BMW,M3 Base,2013,78500,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,22000,7136.0,Medium,333.0
15249,Mitsubishi,Lancer Sportback ES,2013,113000,Gasoline,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,White,Black,None reported,10999,10272.0,High,148.0
33580,Land,Rover Range Rover P525 Westminster,2021,50000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,65000,16666.0,Medium,518.0
37235,Ford,Fusion Energi Titanium,2011,110000,Plug-In Hybrid,266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Gray,Black,At least 1 accident or damage reported,10400,8461.0,High,266.0
22392,Hummer,H2 Base,2009,130000,Gasoline,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,16000,8666.0,High,316.0
40246,Jeep,Wrangler Unlimited Sahara,2022,12172,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Bright White Clearcoat,Black,None reported,48219,6086.0,Low,
36272,Porsche,Cayenne Base,2014,142400,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,13000,14240.0,High,300.0
25607,FIAT,500 Sport,2017,47144,Gasoline,101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,17500,6734.0,Medium,101.0
29820,RAM,1500 Rebel,2017,124000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gray,At least 1 accident or damage reported,43000,17714.0,High,395.0
22740,Dodge,Challenger GT,2019,54002,Gasoline,303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,32500,10800.0,Medium,303.0
21502,Audi,TT 1.8T,2000,97724,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,12500,4071.0,High,180.0
13317,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,23151,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,99750,2893.0,Low,577.0
12186,Mercedes-Benz,AMG GT 53 Base,2021,2000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,93500,666.0,Low,429.0
19826,Audi,S4 3.0T Premium Plus,2016,72329,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,20995,9041.0,Medium,333.0
37486,Mercedes-Benz,C-Class C300 4MATIC,2015,90189,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,18995,10021.0,High,241.0
16074,Land,Rover Discovery HSE LUXURY,2019,47200,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,29000,9440.0,Medium,340.0
11050,INFINITI,QX60 Base,2017,44000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,31000,6285.0,Low,295.0
4461,Ford,F-150 XLT,2021,51803,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Agate Black Metallic,Black,None reported,39366,17267.0,Medium,
37446,Porsche,Panamera 2,2012,79785,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,17999,6648.0,Medium,310.0
18382,BMW,X5 xDrive35i,2016,73043,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,41500,9130.0,Medium,300.0
38191,BMW,X6 M Base,2018,14900,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,65000,2483.0,Low,567.0
43591,Ford,Transit-350 Base,2017,53000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,18000,7571.0,Medium,310.0
38981,BMW,335 i,2011,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,11800,7077.0,High,300.0
6253,Mercedes-Benz,E-Class E 550 4MATIC,2017,75151,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,37500,10735.0,Medium,402.0
