,id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
30507,30507,Subaru,Impreza 2.0i,2014,94000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,10795
37648,37648,Chevrolet,Silverado 1500 RST,2021,19200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,49999
52425,52425,Chevrolet,Camaro 2LT,2011,53000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,20000
45346,45346,Lexus,CT 200h Premium,2014,125519,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,11000
28434,28434,Chevrolet,Silverado 1500 1LT,2018,110000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,28700
11614,11614,Tesla,Model S P100D,2018,67210,Gasoline,Electric Motor Electric Fuel System,1-Speed Automatic,White,White,None reported,Yes,25215
2991,2991,Mercedes-Benz,SL-Class SL 550,2013,53450,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,White,None reported,Yes,49999
37102,37102,Chevrolet,Cruze LS,2010,208864,Gasoline,136.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,6500
35088,35088,Porsche,Macan S,2019,49000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,32999
53468,53468,Chevrolet,Express 2500 Work Van,2012,139804,E85 Flex Fuel,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,17000
2706,2706,Ford,Utility Police Interceptor Base,2016,113395,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,16000
31468,31468,Ford,Fusion SE,2012,110000,Gasoline,231.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,7000
46199,46199,Mercedes-Benz,E-Class E 550,2016,49643,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,26500
1380,1380,BMW,M3 Base,2009,127600,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Brown,Gray,None reported,Yes,19500
33573,33573,Lincoln,MKZ Base,2015,71964,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,13500
1922,1922,Subaru,Forester 2.5 X,2002,178000,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,None reported,Yes,5500
3756,3756,RAM,ProMaster 2500 Window Van High Roof,2016,91140,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,12500
15487,15487,Audi,S3 2.0T Tech Premium Plus,2018,16400,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,42800
42926,42926,Toyota,4Runner SR5,2016,101900,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18999
12677,12677,BMW,X6 sDrive35i,2015,70582,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,White,At least 1 accident or damage reported,Yes,26500
867,867,BMW,X3 xDrive30i,2019,46000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,29999
50818,50818,Ford,Taurus X Limited,2009,81696,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,6500
30895,30895,Mercedes-Benz,SLK-Class SLK320,2011,67800,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,5900
16741,16741,BMW,535 i xDrive,2014,135000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,11000
34589,34589,Ford,F-250 Lariat,2021,28220,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Blue,Black,None reported,Yes,74900
11513,11513,Ford,F-150 XLT,2021,28000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,44400
47355,47355,Cadillac,Escalade ESV Premium Luxury Platinum,2021,57912,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,31000
7155,7155,INFINITI,QX60 Base,2014,82978,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,16000
26378,26378,Chevrolet,Camaro 1SS,2022,27000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,46500
5704,5704,Porsche,911 Carrera 4 GTS,2023,1518,Gasoline,473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Red,Brown,None reported,Yes,84500
42982,42982,Toyota,Tundra SR5 Double Cab,2005,170000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,7600
15527,15527,Chevrolet,Corvette Base,2006,137000,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,10995
30176,30176,Audi,A3 2.0T Premium,2012,137273,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,9995
23308,23308,Mercedes-Benz,AMG G 63 Base,2016,55621,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,51890
9214,9214,Mercedes-Benz,Metris Base,2016,56860,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,At least 1 accident or damage reported,Yes,32000
16851,16851,Hyundai,Genesis Coupe 3.8 Grand Touring,2013,63000,Gasoline,344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,16100
50832,50832,Mercedes-Benz,S-Class S 63 AMG,2015,47800,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,66000
16787,16787,BMW,X3 xDrive30i,2021,63400,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,28000
36738,36738,Ford,Shelby GT350 Base,2018,41500,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,55000
3714,3714,BMW,M3 Base,2018,29850,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Orange,Orange,None reported,Yes,89750
4148,4148,Porsche,911 Carrera Cabriolet,2005,97496,Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,7999
45424,45424,GMC,Yukon XL Denali,2015,76000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,M/T,Black,Black,At least 1 accident or damage reported,Yes,29000
31555,31555,Chevrolet,Tahoe LTZ,2016,72000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,35900
30376,30376,Toyota,Tacoma SR,2021,78110,Gasoline,3.5 Liter,6 Speed Mt,Silver,Gray,None reported,Yes,41927
12523,12523,Toyota,Sequoia Limited,2007,160000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,18500
4226,4226,Ford,F-150 XLT,2021,28105,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,Yes,31755
12997,12997,Hummer,H2 Base,2002,170000,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,5500
16155,16155,Toyota,Sequoia SR5,2002,244200,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,34995
42452,42452,Toyota,Tundra SR5,2014,26300,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,18000
3690,3690,GMC,Acadia SLT-1,2015,119000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,15000
2286,2286,Nissan,Juke SL,2012,122000,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,6500
45571,45571,Mazda,RX-8 Sport,2008,16200,Gasoline,212.0HP 1.3L Rotary engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,13200
44190,44190,Porsche,Panamera Platinum Edition,2022,29850,Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,99750
16129,16129,Chevrolet,Camaro 1SS,2023,10000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,57000
51006,51006,Ford,Taurus SHO,2011,160000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5500
42227,42227,GMC,Terrain SLT-1,2016,11563,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,12995
52281,52281,Honda,Element EX,2008,137483,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,14500
22907,22907,BMW,740 i,2015,73101,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,26999
45540,45540,Tesla,Model S P100D,2016,10065,Gasoline,Electric Motor Electric Fuel System,A/T,Gray,Black,None reported,Yes,32000
34936,34936,Ford,Bronco Big Bend Advanced,2023,7500,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,74995
43749,43749,BMW,X6 xDrive50i,2017,57939,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,44800
19575,19575,Jaguar,XK Base,2007,56000,Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,15750
1952,1952,BMW,X6 xDrive40i,2020,90000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,24950
10525,10525,Ford,Transit Connect XL,2020,169000,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,30500
35137,35137,Jeep,Gladiator Mojave,2022,8794,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,64000
1703,1703,BMW,Z4 sDrive28i,2014,83400,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,13349
19449,19449,Ford,F-150 Tremor,2023,11500,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,47000
48289,48289,BMW,M3 Base,2008,72329,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,15000
30210,30210,RAM,1500 Laramie,2020,49105,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,None reported,Yes,44596
33314,33314,Jeep,Wrangler Unlimited Rubicon 392,2021,38000,Gasoline,270.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,42500
52571,52571,Land,Rover Range Rover Velar P250 S R-Dynamic,2020,18500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,38500
49552,49552,Audi,A8 L 3.0T,2018,70500,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,26000
12226,12226,Audi,A8 L 55,2019,35000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,25999
46755,46755,Mercedes-Benz,E-Class E 350 4MATIC,2013,84450,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,17800
45592,45592,Ford,Explorer XLT,2020,45000,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,None reported,Yes,29900
43051,43051,Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,99499,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,19000
50071,50071,Chevrolet,Corvette Stingray w/2LT,2023,10000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,57480
18092,18092,Dodge,Challenger R/T Scat Pack,2019,43000,–,–,6-Speed M/T,Green,Black,None reported,Yes,43000
54096,54096,Ford,Bronco Big Bend,2022,14000,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,48000
52373,52373,BMW,Z4 3.0si,2008,59257,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,18200
13577,13577,Ford,F-150 Lariat,2021,11250,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,42500
36486,36486,Audi,Q7 55 Prestige,2020,39000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Beige,None reported,Yes,130000
39115,39115,Porsche,Macan S,2015,70500,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,26500
8659,8659,Toyota,Sequoia SR5,2005,244200,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,3950
45933,45933,Ford,F-250 XLT,2022,7455,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,Oxford White,Medium Earth Gray,None reported,Yes,60894
36074,36074,BMW,328 i xDrive,2012,66000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,15999
33499,33499,BMW,X6 xDrive35i,2018,70582,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,35700
6129,6129,Volvo,XC90 T6 Momentum,2016,110380,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,23000
7981,7981,Dodge,Ram 1500 SRT-10 Quad Cab,2004,153692,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,Yes,179000
31962,31962,Audi,A7 3.0T Premium Plus,2019,93500,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,At least 1 accident or damage reported,Yes,41995
29466,29466,Ford,F-150 XLT,2018,69300,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gray,None reported,Yes,36995
12385,12385,Ford,F-350 Lariat,2016,97700,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,32000
34153,34153,Lexus,GX 460 Base,2017,52100,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,None reported,Yes,199995
11591,11591,Nissan,Armada Platinum,2022,8400,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,108000
31164,31164,BMW,650 Gran Coupe i xDrive,2013,111000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,12000
15347,15347,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2022,4279,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,White,None reported,Yes,62500
51419,51419,Audi,A3 2.0T Premium,2015,93500,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,24000
52669,52669,RAM,1500 Limited,2016,45867,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,34084
774,774,Ford,Mustang EcoBoost Premium,2017,68575,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,26000
36008,36008,Mercedes-Benz,S-Class S 560 4MATIC,2019,39000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,69500
114,114,Ford,F-250 Lariat,2019,97700,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,None reported,Yes,45000
23146,23146,Jaguar,F-TYPE R,2018,58600,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,32000
3158,3158,Audi,A5 2.0T Premium Plus,2022,22564,Hybrid,248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,47999
40405,40405,Ford,Mustang GT Premium,2013,207100,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,15000
53035,53035,Dodge,Ram 1500 ST,2010,188000,Gasoline,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,At least 1 accident or damage reported,Yes,15900
52661,52661,BMW,650 Gran Coupe i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,105500
51710,51710,Honda,Ridgeline RTL-E,2018,95271,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,20989
35024,35024,Audi,SQ5 3.0T Premium Plus,2018,22300,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,24999
13246,13246,Cadillac,XTS Luxury,2016,90000,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,26900
26685,26685,Toyota,Tundra Limited,2022,18500,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,51000
3817,3817,Nissan,Pathfinder S,2013,96000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,17500
9352,9352,Chevrolet,Camaro 2SS,2015,51300,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,23750
13331,13331,Chevrolet,Camaro 1SS,2018,65750,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,34950
18187,18187,Nissan,Armada Platinum,2018,119000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,20900
44721,44721,Maserati,Levante Modena,2021,5409,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Nero,None reported,Yes,39848
53418,53418,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,29000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,29000
28960,28960,Porsche,911 Carrera 4S,2017,28470,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,133500
9234,9234,Mercedes-Benz,E-Class E 350,2022,9500,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,63000
42961,42961,BMW,X5 xDrive35i,2016,72700,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,21000
39064,39064,Land,Rover Range Rover Velar P380 S,2020,46000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,52000
25215,25215,Chevrolet,Malibu 1LT,2016,54000,Gasoline,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,25000
52747,52747,Jeep,Wrangler Unlimited Sahara,2020,26465,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,Yes,24840
24470,24470,Mercedes-Benz,SL-Class SL 550,2016,46102,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,38200
32908,32908,Chevrolet,Tahoe LT,2018,37060,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,At least 1 accident or damage reported,Yes,28890
18486,18486,INFINITI,QX80 Luxe,2017,39750,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,28995
36953,36953,Ford,F-150 Raptor,2022,7396,Gasoline,6.2L V8 16V GDI OHV,10-Speed A/T,Oxford White,Black Onyx,None reported,Yes,53900
37077,37077,Nissan,GT-R Premium,2023,1487,Gasoline,3.8L V6 24V MPFI DOHC Twin Turbo,6-Speed Automatic with Auto-Shift,Bayside Blue,Gray,None reported,Yes,272950
30181,30181,Ford,F-150 Raptor,2021,33000,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,46999
